artist_id,name,genres,popularity,followers,total_streams,daily_chart_times,avg_chart_pos,top_peak_pos
0imE3buPhAowREqCrr4CYe,Peach Tree Rascals,"alternative r&b, chill r&b, indie r&b, pop",65,181440,65918770.0,83.0,141.0,102.0
5KEG7G8LDYlHgFDqZyEEs2,Chris Rea,"album rock, blues rock, classic rock, mellow gold, soft rock, sophisti-pop",60,663699,65745863.0,34.0,67.0,14.0
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,"adult standards, soul, vocal jazz",69,1667943,64200161.0,42.0,134.0,18.0
6ZjFtWeHP9XN7FeKSUe80S,Bing Crosby,"adult standards, easy listening, lounge, swing",59,364044,64121147.0,42.0,118.0,20.0
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,sertanejo universitario,82,13518070,63662390.0,77.0,157.0,68.0
1cZQSpDsxgKIX2yW5OR9Ot,Lennon Stella,"alt z, canadian pop, dance pop, electropop, pop, post-teen pop",71,306036,63396205.0,91.0,176.0,141.0
45eNHdiiabvmbp4erw26rg,ILLENIUM,"edm, melodic dubstep, pop, pop dance, tropical house",76,1153712,62680701.0,90.0,177.0,141.0
0gadJ2b9A4SKsB1RFkBb66,Passenger,"folk-pop, neo mellow, pop, pop rock",74,2844909,61746723.0,94.0,185.0,167.0
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,"alternative pop rock, pop",73,564187,61655297.0,88.0,169.0,145.0
4x1nvY2FN8jxqAFA0DA02H,John Lennon,"album rock, art rock, beatlesque, classic rock, folk rock, mellow gold, rock, soft rock",71,4414141,60999532.0,32.0,71.0,16.0
2s4tjL6W3qrblOe0raIzwJ,Yoko Ono,"experimental, experimental pop",52,93421,60999532.0,32.0,71.0,16.0
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,"modern rock, rock",84,21159318,60704351.0,58.0,83.0,24.0
5TYxZTjIPqKM8K8NuP9woO,C. Tangana,urbano espanol,78,1538917,60674226.0,54.0,110.0,31.0
5IbUz6BcOu6IVY512oxavP,NiÃÂ±o de Elche,spanish pop,65,23462,60674226.0,54.0,110.0,31.0
7xtnpHS34mLlxGZDVUBHSU,La HÃÂºngara,"pop flamenco, rumba, spanish pop, spanish pop rock",65,253226,60674226.0,54.0,110.0,31.0
3IW7ScrzXmPvZhB27hmfgy,Jul,"francoton, rap marseille",81,4361033,59991540.0,70.0,151.0,85.0
19u3RGWKsjmbg9eI6zAiNp,13 OrganisÃÂ©,"french hip hop, pop urbaine",62,138474,59125232.0,69.0,139.0,85.0
6zrOXBaNn0DqJeXxgC2eyH,Houari,pop urbaine,61,6605,59125232.0,69.0,139.0,85.0
7FXX45sHqoQoCwqtG0ZV8H,Solda,,60,1911,59125232.0,69.0,139.0,85.0
6W5uA6CNMf3hd2j4a2XWCx,Naps,"francoton, french hip hop, pop urbaine, rap marseille",76,1419829,59125232.0,69.0,139.0,85.0
2kXKa3aAFngGz2P4GjG5w2,SCH,"french hip hop, pop urbaine, rap marseille",75,1342296,59125232.0,69.0,139.0,85.0
2IoSLl3tqYMq9DzR0d6NJN,Elams,"francoton, french hip hop, pop urbaine, rap francais, rap marseille",62,184769,59125232.0,69.0,139.0,85.0
5RaQ9nmVGoTye2SI76x3yw,Kofs,"francoton, french hip hop, pop urbaine, rap francais, rap marseille",64,259739,59125232.0,69.0,139.0,85.0
0oeiA5U9u1U45Gos5cywUU,Soso Maness,"french hip hop, pop urbaine, rap francais, rap marseille",69,317814,59125232.0,69.0,139.0,85.0
5Lv2GUVwqmQBPwrTrxucE5,Os BarÃÂµes Da Pisadinha,"forro, piseiro",82,4735384,58886867.0,67.0,151.0,82.0
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,"dance pop, electropop, pop",77,4546267,57354562.0,81.0,181.0,152.0
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,"emo rap, lgbtq+ hip hop",85,7870324,56999575.0,80.0,177.0,149.0
1aS5tqEs9ci5P9KD9tZWa6,Bonez MC,"german hip hop, hamburg hip hop",79,1709208,56302793.0,67.0,143.0,58.0
10exVja0key0uqUkk6LJRT,Vance Joy,"folk-pop, modern rock, pop, pop rock",78,2456245,55859924.0,86.0,184.0,163.0
6icQOAFXDZKsumw3YXyusw,Lil Yachty,"atl hip hop, hip hop, melodic rap, pop rap, rap, trap, viral rap",80,7477098,55680293.0,65.0,146.0,50.0
