artist_id,name,genres,followers,popularity,danceability,energy,tempo,valence,loudness,speechiness,liveness,acousticness,instrumentalness
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house",5920591,84,0.72,0.74,121.39,0.62,-4.45,0.09,0.16,0.2,0.0
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,"hip hop,ohio hip hop,pop rap,rap",5154523,84,0.61,0.65,138.79,0.3,-7.63,0.14,0.25,0.35,0.08
711MCceyCBcFnzjGY4Q7Un,AC/DC,"australian rock,hard rock,rock",20810065,83,0.49,0.79,134.3,0.6,-4.95,0.06,0.16,0.01,0.0
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,"dance pop,pop,post-teen pop",20723113,83,0.6,0.63,117.28,0.48,-5.77,0.12,0.15,0.16,0.0
1vCWHaC5f2uS3yhpwWbIA6,Avicii,"dance pop,edm,pop,pop dance",20661111,83,0.6,0.69,118.29,0.46,-5.62,0.06,0.17,0.17,0.04
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,"pop,r&b,soul",19972464,83,0.82,0.67,119.34,0.68,-6.01,0.05,0.31,0.16,0.01
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave",16812139,83,0.56,0.34,84.58,0.46,-13.5,0.05,0.14,0.06,0.0
6olE6TJLqED3rqDCT0FyPh,Nirvana,"alternative rock,grunge,permanent wave,rock",13686339,83,0.5,0.91,116.76,0.72,-4.56,0.06,0.11,0.0,0.0
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,sertanejo universitario,13537750,83,0.63,0.7,116.75,0.69,-6.16,0.05,0.87,0.49,0.0
1KCSPY1glIKqW2TotWuXOR,P!nk,"dance pop,pop",11850029,83,0.54,0.63,113.0,0.39,-5.5,0.14,0.24,0.11,0.0
7n2Ycct7Beij7Dj7meI4X0,TWICE,"k-pop,k-pop girl group",10744227,83,0.7,0.89,129.52,0.69,-2.83,0.07,0.34,0.05,0.0
4obzFoKoKRHIphyHzJ35G3,Becky G,"dance pop,latin,latin pop,latin viral pop,pop,rap latina,reggaeton,trap latino",10558121,83,0.77,0.73,118.99,0.62,-4.49,0.13,0.26,0.2,0.0
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,"east coast hip hop,hip hop,rap,trap",9915550,83,0.68,0.6,133.6,0.41,-7.24,0.23,0.22,0.28,0.0
3e7awlrlDSwF3iM0WBjGMp,Little Mix,"dance pop,girl group,pop,post-teen pop,talent show,uk pop",9592419,83,0.66,0.75,111.65,0.54,-4.53,0.12,0.17,0.08,0.0
4IWBUUAFIplrNtaOHcJPRM,James Arthur,"pop,talent show,uk pop",8695010,83,0.51,0.59,115.36,0.38,-6.11,0.11,0.16,0.32,0.0
2nszmSgqreHSdJA3zWPyrW,Luis Miguel,"bolero,latin,latin pop",7951336,83,0.54,0.37,70.28,0.25,-14.24,0.03,0.04,0.04,0.0
3q7HBObVc0L8jNeTe5Gofh,50 Cent,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap",7784205,83,0.67,0.64,95.37,0.51,-6.29,0.14,0.53,0.08,0.0
23fqKkggKUBHNkbKtXEls4,Kygo,"edm,pop,pop dance,tropical house",7714837,83,0.64,0.64,115.07,0.41,-6.67,0.07,0.14,0.2,0.0
3E6xrwgnVfYCrCs0ePERDz,Wisin,"latin,latin hip hop,reggaeton,trap latino",7092575,83,0.75,0.83,120.21,0.69,-3.81,0.13,0.23,0.13,0.0
0LcJLqbBmaGUft1e9Mm8HV,ABBA,"europop,swedish pop",6564534,83,0.53,0.62,116.68,0.5,-7.85,0.04,0.47,0.59,0.0
6fOMl44jA4Sp5b9PpYCkzz,NF,"hip hop,pop rap,rap",6075924,83,0.69,0.74,122.14,0.33,-4.75,0.18,0.16,0.29,0.0
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,"melodic rap,rap,trap",5983328,83,0.75,0.65,123.66,0.49,-6.07,0.2,0.16,0.2,0.0
20sxb77xiYeusSH8cVdatc,Meek Mill,"hip hop,philly rap,pop rap,rap,southern hip hop,trap",5430055,83,0.71,0.67,112.58,0.32,-5.48,0.23,0.2,0.09,0.0
02kJSzxNuaWGqwubyUba0Z,G-Eazy,"hip hop,indie pop rap,oakland hip hop,pop,pop rap,rap",4932649,83,0.72,0.71,116.39,0.44,-5.64,0.23,0.19,0.09,0.0
1qto4hHid1P71emI6Fd8xi,Aventura,"bachata,bachata dominicana,latin,latin hip hop,latin pop,trap latino,tropical",4890157,83,0.77,0.78,124.01,0.85,-4.65,0.03,0.07,0.18,0.0
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,"melodic rap,rap,trap",4289613,83,0.71,0.61,142.17,0.44,-6.97,0.2,0.13,0.26,0.0
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,"dance pop,pop",4227295,83,0.67,0.68,130.16,0.56,-4.46,0.05,0.15,0.18,0.0
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,2338366,83,0.66,0.66,124.51,0.55,-6.09,0.04,0.15,0.46,0.0
5hdhHgpxyniooUiQVaPxQ0,Nio Garcia,"latin,reggaeton,trap latino",2330838,83,0.86,0.7,136.26,0.61,-4.05,0.21,0.08,0.42,0.0
4Gso3d4CscCijv0lmajZWs,Don Toliver,"pop,rap,trap",1714726,83,0.73,0.61,132.0,0.35,-6.33,0.06,0.21,0.23,0.03
1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez,"latin,reggaeton,reggaeton flow,trap argentino,trap latino",1405470,83,0.69,0.67,149.55,0.66,-4.62,0.18,0.14,0.26,0.0
6ASri4ePR7RlsvIQgWPJpS,iann dior,"melodic rap,pop rap",1346184,83,0.7,0.71,97.39,0.6,-4.48,0.05,0.23,0.14,0.0
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,"dance pop,edm,electropop,pop,pop dance,tropical house",18416887,82,0.6,0.64,113.93,0.37,-7.03,0.05,0.21,0.12,0.0
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,"sertanejo,sertanejo universitario",14764701,82,0.62,0.82,139.23,0.56,-4.72,0.14,0.5,0.56,0.0
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,"sertanejo,sertanejo universitario",13537009,82,0.81,0.93,128.0,0.9,-2.37,0.03,0.6,0.24,0.0
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,"bachata,latin",13390730,82,0.73,0.71,139.88,0.66,-4.63,0.14,0.14,0.23,0.0
2C6i0I5RiGzDKN9IAF8reh,Banda MS de Sergio Lizárraga,"banda,corrido,norteno,regional mexican",12654725,82,0.76,0.53,177.95,0.68,-8.05,0.2,0.13,0.21,0.0
6oMuImdp5ZcFhWP0ESe6mG,Migos,"atl hip hop,rap,trap",11811257,82,0.84,0.64,136.7,0.4,-5.87,0.17,0.16,0.12,0.0
0NGAZxHanS9e0iNHpR8f2W,Alok,"electro house,pop nacional,slap house",10580298,82,0.76,0.64,123.0,0.52,-5.85,0.04,0.08,0.29,0.0
26dSoYclwsYLMAKD3tpOr4,Britney Spears,"dance pop,pop,post-teen pop",9762895,82,0.67,0.65,147.09,0.71,-10.58,0.03,0.22,0.2,0.0
