artist_id,followers,genres,popularity,name
0ECwFtbIWEVNwjlrfc6xoL,7134113,"album rock, classic rock, country rock, folk rock, heartland rock, mellow gold, rock, soft rock, yacht rock",77,Eagles
6XpaIBNiVzIetEPCWDvAFP,7082141,"dance pop, pop, urban contemporary",78,Whitney Houston
3E6xrwgnVfYCrCs0ePERDz,7078556,"latin, latin hip hop, reggaeton, trap latino",83,Wisin
5p7f24Rk5HkUZsaS3BLG5F,7052784,"dance pop, pop, post-teen pop",74,Hailee Steinfeld
4iHNK0tOyZPYnBU7nGAgpQ,7049724,"dance pop, pop, r&b, urban contemporary",78,Mariah Carey
4V8LLVI7PbaPR0K2TGSxFF,7045374,"hip hop, rap",86,"Tyler, The Creator"
1w5Kfo2jwwIPruYS2UWh56,7010498,"grunge, permanent wave, rock",77,Pearl Jam
77SW9BnxLY8rJ0RciFqkHh,6979179,"modern alternative rock, modern rock, pop",84,The Neighbourhood
0vLuOi2k62sHujIfplInlK,6942654,"brazilian hip hop, rap df, trap brasileiro",71,Hungria Hip Hop
1mcTU81TzQhprhouKaTkpq,6927881,"puerto rican pop, trap latino",92,Rauw Alejandro
2auC28zjQyVTsiZKNgPRGs,6882357,k-rap,69,RM
4SsVbpTthjScTS7U2hmr1X,6872661,"latin, latin hip hop, reggaeton, trap latino",84,Arcangel
757aE44tKEUQEqRuT6GnEB,6867488,"melodic rap, rap, trap",83,Roddy Ricch
3AQRLZ9PuTAozP28Skbq8V,6853269,"celtic rock, dance pop, neo mellow, pop, pop rock, post-teen pop",76,The Script
7uIbLdzzSEqnX0Pkrb56cR,6759757,"desi pop, filmi, hindi hip hop, modern bollywood, sufi",69,Yo Yo Honey Singh
0BvkDsjIUla7X0k6CSWh1I,6745858,"contemporary country, country, country road",78,Luke Bryan
7iK8PXO48WeuP03g8YR51W,6694486,trap latino,90,Myke Towers
64M6ah0SkkRsnPGtGiRAbb,6692061,"dance pop, electropop, pop, post-teen pop",81,Bebe Rexha
6Xgp2XMz1fhVYe7i6yNAax,6679047,"melodic rap, rap, trap",88,Trippie Redd
6LqNN22kT3074XbTVUrhzX,6656487,"dance pop, electropop, pop, post-teen pop",78,Kesha
0E02VcvA5p1ndkLdqWD5JB,6630754,"desi pop, filmi, modern bollywood, sufi",65,Ankit Tiwari
2DaxqgrOhkeH0fpeiQq2f4,6630543,"beatlesque, britpop, madchester, permanent wave, rock",78,Oasis
3eDT9fwXKuHWFvgZaaYC5v,6624580,"desi pop, filmi, modern bollywood, sufi",70,Sunidhi Chauhan
1GDbiv3spRmZ1XdM1jQbT7,6608731,"latin, latin pop, rap latina, reggaeton, trap latino",81,Natti Natasha
17lzZA2AlOHwCwFALHttmp,6607365,"atl hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",80,2 Chainz
3nFkdlSjzX9mRTtwJOzDYB,6576125,"east coast hip hop, hip hop, rap",86,JAY-Z
1cNDP5yjU5vjeR8qMf4grg,6568587,"melodic rap, trap",79,YNW Melly
7gZfnEnfiaHzxARJ2LeXrf,6544360,"emo rap, rap",75,6ix9ine
7jVv8c5Fj3E9VhNjxT4snq,6534836,"lgbtq+ hip hop, pop, pop rap",93,Lil Nas X
0LcJLqbBmaGUft1e9Mm8HV,6533911,"europop, swedish pop",83,ABBA
50co4Is1HCEo8bhOyUWKpn,6526467,"atl hip hop, atl trap, gangster rap, hip hop, melodic rap, pop rap, rap, trap",89,Young Thug
3MHaV05u0io8fQbZ2XPtlC,6458913,"bachata, latin, latin hip hop, latin pop",77,Prince Royce
0jD7VeE1m2SdHbOWeCtB9l,6457371,"funk carioca, sertanejo, sertanejo pop, sertanejo universitario",59,Naiara Azevedo
21E3waRsmPlU7jZsS13rcj,6429347,"dance pop, pop, r&b, urban contemporary",80,Ne-Yo
0QHgL1lAIqAw0HtD7YldmP,6418312,"hip hop, miami hip hop, pop, pop rap, rap, southern hip hop, trap",80,DJ Khaled
1l7ZsJRRS8wlW3WfJfPfNS,6403615,"dance pop, pop, post-teen pop",79,Christina Aguilera
4LLpKhyESsyAXpc4laK94U,6385162,"hip hop, pittsburgh rap, rap",85,Mac Miller
